trial,smaller_money,choices
1,200,A
2,100,B
3,150,B
4,175,A
5,162,B
6,168,B
7,171,B
8,200,B
9,300,A
10,250,B
11,275,B
12,288,A
13,281,B
14,284,A
15,200,B
16,300,B
17,350,B
18,375,B
19,388,A
20,381,A
21,378,B
22,200,A
23,100,B
24,150,B
25,175,A
26,162,B
27,168,B
28,171,B
29,200,B
30,300,B
31,350,A
32,325,B
33,337,B
34,343,A
35,340,A
36,200,B
37,300,B
38,350,A
39,325,B
40,337,A
41,331,A
42,328,A
43,200,B
44,300,B
45,350,B
46,375,B
47,388,A
48,381,A
49,378,A
50,200,A
51,100,A
52,50,B
53,75,B
54,88,B
55,95,B
56,99,B
57,200,B
58,300,B
59,350,A
60,325,B
61,337,B
62,343,B
63,346,B
64,200,A
65,100,A
66,50,A
67,25,A
68,13,A
69,7,B
70,10,B
71,2000,B
72,3000,B
73,3500,A
74,3250,A
75,3125,A
76,3063,A
77,3032,B
78,2000,B
79,3000,A
80,2500,A
81,2250,B
82,2375,A
83,2312,A
84,2281,B
85,2000,B
86,3000,B
87,3500,B
88,3750,A
89,3625,A
90,3563,A
91,3532,A
92,2000,B
93,3000,A
94,2500,B
95,2750,A
96,2625,A
97,2563,A
98,2532,A
99,2000,B
100,3000,B
101,3500,B
102,3750,B
103,3875,A
104,3812,B
105,3843,A
106,2000,B
107,3000,B
108,3500,B
109,3750,B
110,3875,B
111,3938,A
112,3906,A
113,2000,B
114,3000,B
115,3500,B
116,3750,A
117,3625,B
118,3687,A
119,3656,A
120,2000,A
121,1000,A
122,500,B
123,750,B
124,875,B
125,938,A
126,906,B
127,2000,B
128,3000,B
129,3500,A
130,3250,B
131,3375,A
132,3312,B
133,3343,B
134,2000,A
135,1000,A
136,500,B
137,750,B
138,875,B
139,938,B
140,970,A
